chronname,city,state,level,control,basic,site,student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,exp_award_percentile,ft_pct,fte_value,fte_percentile,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,grad_100_value,grad_100_percentile,grad_150_value,grad_150_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,similar,state_sector_ct,nicknames,cohort_size
California Polytechnic State University at San Luis Obispo,San Luis Obispo,California,4-year,Public,Masters Colleges and Universities--larger programs,calpoly.edu,18739,20.7,25,21.5,80134,79310,66436,79,96.4,16661,82,1242,95,7499,77,10629,79,29,67,69.7,89,19.8,5,92.5,96,68.5,61,2010,27,1.4,50.9,10.7,74.6,5,2.1,5.9,78.7,2.1,4.6,2.4,165662|195003|136950|153269|159656|191931|219709|164739|111948|122931|224323|197869|227863|199218|217402|187134|192819|140447|232423|163046,32,Cal Poly,4419
California State University at Bakersfield,Bakersfield,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csub.edu,7350,21.7,25,21.5,52362,79310,66436,36,88.7,6915,53,901,9,11089,95,2668,35,15,29,39.5,32,58.4,92,74.4,52,65.1,55,2010,17.6,1.4,43.3,20.5,43.3,5.2,12.7,15.1,63.8,4.3,7.6,9.8,110510|190637|227368|110574|147776|185262|126182|110608|110556|212160|120184|190600|192925|226091|239080|186432|212984|211644|110592|141486,32,Cal State Bakersfield,859
California State University-Stanislaus,Turlock,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csustan.edu,7754,24.6,25,21.5,54098,79310,66436,42,84.4,6243,50,917,11,9087,90,1455,18,18.2,39,52,63,57.7,91,87.2,88,56.3,38,2010,23.1,3.4,40.9,17,30.9,10.6,18.1,11.6,70.9,3.1,7,4.7,199281|151306|207847|138983|139764|151102|222831|206048|130314|175616|208646|366711|229160|377564|193292|137032|152248|210775|212832|206349,32,Cal State Stanislaus,910
California State University at San Bernardino,San Bernardino,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csusb.edu,16191,22,25,21.5,50514,79310,66436,32,88.3,14586,79,888,6,9354,92,1353,16,9.4,13,41.1,36,58,91,88.8,91,50.5,29,2011,1.2,0.7,69.3,14.5,37.1,4,23.4,13.4,61.5,4.2,20.4,4.9,110486|190637|110574|227368|147776|185262|110608|110556|212160|126182|120184|190600|192925|226091|239080|186432|212984|211644|110592|141486,32,Cal State San Bernadino,1656
California State Polytechnic University at Pomona,Pomona,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csupomona.edu,20952,23.9,25,21.5,50007,79310,66436,31,87.9,17439,84,1070,65,8932,89,3819,47,10,15,52.4,64,44,69,90,92,48.8,26,2010,19.2,1.5,54.9,15.1,56.4,6.4,12.8,10.5,70.4,5.6,11.4,5,220978|196246|179557|221740|196200|149231|136172|154235|240107|146612|167987|148627|196121|229027|145619|190549|213826|240365|190664|173920,32,Cal Poly Pomona,3414
California State University at Chico,Chico,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csuchico.edu,15290,25.2,25,21.5,47231,79310,66436,24,92.9,14249,78,1014,46,9124,91,2401,32,16.9,35,56.1,71,38.9,52,86.6,86,52.8,33,2010,20.2,2.7,53.6,16.1,63.1,7.8,6,9.2,65.1,3.3,11,6.4,210146|171456|122597|160612|123572|110583|206941|144892|141264|174783|157447|215655|190558|216038|155681|190567|233277|151263|142115|211158,32,Cal State Chico,2710
California State University-Dominguez Hills,Carson,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csudh.edu,12481,26,25,21.5,38497,79310,66436,13,68.7,8683,61,845,2,8895,88,1234,14,3.8,2,29.4,14,58.6,92,79.3,68,38.8,14,2011,6,2.2,45.9,25,19.9,5.8,19,19.6,57.2,4.5,14.7,7.9,185129|110592|170842|227526|147776|110574|199157|110510|110486|190637|162007|185262|227368|218706|120184|110608|212160|192925|188182|110556,32,Cal State Dominguez Hills,913
California State University at Fresno,Fresno,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csufresno.edu,20295,21.1,25,21.5,50402,79310,66436,32,86.6,17363,83,920,12,9343,91,7161,68,13.7,25,48.6,55,54.1,87,83.2,79,51.8,31,2010,16.9,1.6,52.4,15.4,50.9,4.7,12.1,11.9,68.1,2.8,10.3,5.3,212160|190600|110608|126182|226091|239080|186432|211644|212984|151379|185262|141486|110617|151342|190637|227368|217420|192925|110510|110486,32,Cal State Fresno,2552
California State University at Fullerton,Fullerton,California,4-year,Public,Masters Colleges and Universities--larger programs,www.fullerton.edu,33116,26.9,25,21.5,40380,79310,66436,14,80.6,26806,96,1021,48,8616,87,1476,18,13.6,24,53.5,66,40.6,58,88.5,91,46.2,20,2011,14,2.4,54,19.2,50.5,6.3,10.9,14.2,71.6,2.7,9.8,4.6,187444|141334|234827|149772|102094|155061|157951|240417|101879|156620|159717|138789|227881|198561|185590|216010|212115|225627|168290|106458,32,Cal State Fullerton,4040
California State University-East Bay,Hayward,California,4-year,Public,Masters Colleges and Universities--larger programs,www.csueastbay.edu,12146,25.8,25,21.5,47531,79310,66436,26,86.8,11053,71,910,10,9038,90,825,9,10.8,17,38.1,30,44.3,70,77.5,62,41.6,16,,,,,,,,,,,,,,147776|110510|110486|185262|190637|120184|227368|192925|110608|212160|226091|239080|110556|212984|126182|211644|141486|190600|186432|151379,32,Cal State East Bay,1032
